passengerCount,timeStamp
7,2016-09-11-02-1
8,2016-09-11-02-1
7,2016-09-11-02-1
8,2016-09-11-02-1
7,2016-09-11-02-1
7,2016-09-11-02-1
7,2016-09-11-02-1
8,2016-09-11-02-1
8,2016-09-11-02-1
8,2016-09-11-02-2
7,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-2
9,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-2
8,2016-09-11-02-3
9,2016-09-11-02-3
9,2016-09-11-02-3
7,2016-09-11-02-3
8,2016-09-11-02-3
9,2016-09-11-02-3
9,2016-09-11-02-3
8,2016-09-11-02-3
10,2016-09-11-02-3
10,2016-09-11-02-3
11,2016-09-11-02-4
11,2016-09-11-02-4
11,2016-09-11-02-4
11,2016-09-11-02-4
11,2016-09-11-02-4
10,2016-09-11-02-4
8,2016-09-11-02-4
9,2016-09-11-02-4
9,2016-09-11-02-4
8,2016-09-11-02-4
8,2016-09-11-02-5
9,2016-09-11-02-5
9,2016-09-11-02-5
10,2016-09-11-02-5
9,2016-09-11-02-5
9,2016-09-11-02-5
9,2016-09-11-02-5
9,2016-09-11-02-5
9,2016-09-11-02-5
7,2016-09-11-02-5
8,2016-09-11-03-0
7,2016-09-11-03-0
7,2016-09-11-03-0
7,2016-09-11-03-0
7,2016-09-11-03-0
7,2016-09-11-03-0
6,2016-09-11-03-0
7,2016-09-11-03-0
6,2016-09-11-03-0
7,2016-09-11-03-0
7,2016-09-11-03-1
7,2016-09-11-03-1
7,2016-09-11-03-1
7,2016-09-11-03-1
7,2016-09-11-03-1
7,2016-09-11-03-1
8,2016-09-11-03-1
9,2016-09-11-03-1
9,2016-09-11-03-1
8,2016-09-11-03-1
8,2016-09-11-03-2
9,2016-09-11-03-2
11,2016-09-11-03-2
9,2016-09-11-03-2
8,2016-09-11-03-2
8,2016-09-11-03-2
8,2016-09-11-03-2
8,2016-09-11-03-2
10,2016-09-11-03-2
10,2016-09-11-03-2
10,2016-09-11-03-3
10,2016-09-11-03-3
8,2016-09-11-03-3
9,2016-09-11-03-3
10,2016-09-11-03-3
11,2016-09-11-03-3
9,2016-09-11-03-3
8,2016-09-11-03-3
8,2016-09-11-03-3
8,2016-09-11-03-3
8,2016-09-11-03-4
8,2016-09-11-03-4
8,2016-09-11-03-4
9,2016-09-11-03-4
9,2016-09-11-03-4
9,2016-09-11-03-4
9,2016-09-11-03-4
7,2016-09-11-03-4
8,2016-09-11-03-4
9,2016-09-11-03-4
9,2016-09-11-03-5
9,2016-09-11-03-5
14,2016-09-11-03-5
16,2016-09-11-03-5
15,2016-09-11-03-5
16,2016-09-11-03-5
17,2016-09-11-03-5
17,2016-09-11-03-5
15,2016-09-11-03-5
16,2016-09-11-03-5
15,2016-09-11-04-0
12,2016-09-11-04-0
11,2016-09-11-04-0
10,2016-09-11-04-0
10,2016-09-11-04-0
11,2016-09-11-04-0
10,2016-09-11-04-0
10,2016-09-11-04-0
11,2016-09-11-04-0
12,2016-09-11-04-0
11,2016-09-11-04-1
12,2016-09-11-04-1
11,2016-09-11-04-1
10,2016-09-11-04-1
11,2016-09-11-04-1
11,2016-09-11-04-1
11,2016-09-11-04-1
11,2016-09-11-04-1
9,2016-09-11-04-1
9,2016-09-11-04-1
9,2016-09-11-04-2
9,2016-09-11-04-2
10,2016-09-11-04-2
9,2016-09-11-04-2
8,2016-09-11-04-2
8,2016-09-11-04-2
7,2016-09-11-04-2
9,2016-09-11-04-2
7,2016-09-11-04-2
7,2016-09-11-04-2
8,2016-09-11-04-3
7,2016-09-11-04-3
7,2016-09-11-04-3
8,2016-09-11-04-3
8,2016-09-11-04-3
9,2016-09-11-04-3
10,2016-09-11-04-3
11,2016-09-11-04-3
11,2016-09-11-04-3
10,2016-09-11-04-3
11,2016-09-11-04-4
10,2016-09-11-04-4
9,2016-09-11-04-4
10,2016-09-11-04-4
10,2016-09-11-04-4
10,2016-09-11-04-4
10,2016-09-11-04-4
8,2016-09-11-04-4
8,2016-09-11-04-4
9,2016-09-11-04-4
10,2016-09-11-04-5
9,2016-09-11-04-5
9,2016-09-11-04-5
8,2016-09-11-04-5
9,2016-09-11-04-5
9,2016-09-11-04-5
9,2016-09-11-04-5
11,2016-09-11-04-5
11,2016-09-11-04-5
10,2016-09-11-04-5
8,2016-09-11-05-0
7,2016-09-11-05-0
8,2016-09-11-05-0
8,2016-09-11-05-0
7,2016-09-11-05-0
8,2016-09-11-05-0
8,2016-09-11-05-0
8,2016-09-11-05-0
8,2016-09-11-05-0
9,2016-09-11-05-0
9,2016-09-11-05-1
9,2016-09-11-05-1
10,2016-09-11-05-1
11,2016-09-11-05-1
12,2016-09-11-05-1
13,2016-09-11-05-1
12,2016-09-11-05-1
12,2016-09-11-05-1
10,2016-09-11-05-1
9,2016-09-11-05-1
10,2016-09-11-05-2
9,2016-09-11-05-2
10,2016-09-11-05-2
8,2016-09-11-05-2
8,2016-09-11-05-2
6,2016-09-11-05-2
7,2016-09-11-05-2
8,2016-09-11-05-2
8,2016-09-11-05-2
7,2016-09-11-05-2
6,2016-09-11-05-3
7,2016-09-11-05-3
6,2016-09-11-05-3
7,2016-09-11-05-3
6,2016-09-11-05-3
5,2016-09-11-05-3
7,2016-09-11-05-3
5,2016-09-11-05-3
7,2016-09-11-05-3
7,2016-09-11-05-3
5,2016-09-11-05-4
5,2016-09-11-05-4
5,2016-09-11-05-4
8,2016-09-11-05-4
7,2016-09-11-05-4
8,2016-09-11-05-4
9,2016-09-11-05-4
8,2016-09-11-05-4
8,2016-09-11-05-4
8,2016-09-11-05-4
9,2016-09-11-05-5
7,2016-09-11-05-5
6,2016-09-11-05-5
6,2016-09-11-05-5
8,2016-09-11-05-5
7,2016-09-11-05-5
8,2016-09-11-05-5
10,2016-09-11-05-5
10,2016-09-11-05-5
12,2016-09-11-05-5
10,2016-09-11-06-0
9,2016-09-11-06-0
7,2016-09-11-06-0
6,2016-09-11-06-0
7,2016-09-11-06-0
7,2016-09-11-06-0
6,2016-09-11-06-0
5,2016-09-11-06-0
5,2016-09-11-06-0
5,2016-09-11-06-0
5,2016-09-11-06-1
4,2016-09-11-06-1
4,2016-09-11-06-1
6,2016-09-11-06-1
4,2016-09-11-06-1
5,2016-09-11-06-1
4,2016-09-11-06-1
3,2016-09-11-06-1
4,2016-09-11-06-1
4,2016-09-11-06-1
2,2016-09-11-06-2
2,2016-09-11-06-2
2,2016-09-11-06-2
3,2016-09-11-06-2
3,2016-09-11-06-2
5,2016-09-11-06-2
5,2016-09-11-06-2
5,2016-09-11-06-2
3,2016-09-11-06-2
2,2016-09-11-06-2
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-3
3,2016-09-11-06-3
2,2016-09-11-06-3
2,2016-09-11-06-4
3,2016-09-11-06-4
3,2016-09-11-06-4
3,2016-09-11-06-4
4,2016-09-11-06-4
4,2016-09-11-06-4
3,2016-09-11-06-4
3,2016-09-11-06-4
4,2016-09-11-06-4
4,2016-09-11-06-4
4,2016-09-11-06-5
3,2016-09-11-06-5
1,2016-09-11-06-5
1,2016-09-11-06-5
2,2016-09-11-06-5
2,2016-09-11-06-5
2,2016-09-11-06-5
2,2016-09-11-06-5
1,2016-09-11-06-5
2,2016-09-11-06-5
3,2016-09-11-07-0
7,2016-09-11-07-0
6,2016-09-11-07-0
6,2016-09-11-07-0
6,2016-09-11-07-0
7,2016-09-11-07-0
7,2016-09-11-07-0
8,2016-09-11-07-0
8,2016-09-11-07-0
7,2016-09-11-07-0
7,2016-09-11-07-1
7,2016-09-11-07-1
7,2016-09-11-07-1
7,2016-09-11-07-1
8,2016-09-11-07-1
7,2016-09-11-07-1
8,2016-09-11-07-1
8,2016-09-11-07-1
7,2016-09-11-07-1
7,2016-09-11-07-1
5,2016-09-11-07-2
5,2016-09-11-07-2
4,2016-09-11-07-2
4,2016-09-11-07-2
4,2016-09-11-07-2
5,2016-09-11-07-2
7,2016-09-11-07-2
7,2016-09-11-07-2
8,2016-09-11-07-2
9,2016-09-11-07-2
6,2016-09-11-07-3
8,2016-09-11-07-3
8,2016-09-11-07-3
7,2016-09-11-07-3
6,2016-09-11-07-3
6,2016-09-11-07-3
5,2016-09-11-07-3
6,2016-09-11-07-3
6,2016-09-11-07-3
7,2016-09-11-07-3
9,2016-09-11-07-4
9,2016-09-11-07-4
12,2016-09-11-07-4
11,2016-09-11-07-4
12,2016-09-11-07-4
13,2016-09-11-07-4
14,2016-09-11-07-4
13,2016-09-11-07-4
13,2016-09-11-07-4
12,2016-09-11-07-4
11,2016-09-11-07-5
12,2016-09-11-07-5
13,2016-09-11-07-5
14,2016-09-11-07-5
12,2016-09-11-07-5
13,2016-09-11-07-5
14,2016-09-11-07-5
11,2016-09-11-07-5
11,2016-09-11-07-5
10,2016-09-11-07-5
11,2016-09-11-08-0
10,2016-09-11-08-0
11,2016-09-11-08-0
11,2016-09-11-08-0
11,2016-09-11-08-0
11,2016-09-11-08-0
10,2016-09-11-08-0
11,2016-09-11-08-0
13,2016-09-11-08-0
17,2016-09-11-08-0
15,2016-09-11-08-1
15,2016-09-11-08-1
15,2016-09-11-08-1
18,2016-09-11-08-1
16,2016-09-11-08-1
19,2016-09-11-08-1
20,2016-09-11-08-1
21,2016-09-11-08-1
21,2016-09-11-08-1
21,2016-09-11-08-1
19,2016-09-11-08-2
20,2016-09-11-08-2
26,2016-09-11-08-2
25,2016-09-11-08-2
26,2016-09-11-08-2
26,2016-09-11-08-2
26,2016-09-11-08-2
26,2016-09-11-08-2
26,2016-09-11-08-2
26,2016-09-11-08-2
23,2016-09-11-08-3
21,2016-09-11-08-3
21,2016-09-11-08-3
20,2016-09-11-08-3
20,2016-09-11-08-3
21,2016-09-11-08-3
23,2016-09-11-08-3
21,2016-09-11-08-3
20,2016-09-11-08-3
19,2016-09-11-08-3
21,2016-09-11-08-4
18,2016-09-11-08-4
20,2016-09-11-08-4
21,2016-09-11-08-4
21,2016-09-11-08-4
20,2016-09-11-08-4
21,2016-09-11-08-4
21,2016-09-11-08-4
21,2016-09-11-08-4
24,2016-09-11-08-4
22,2016-09-11-08-5
21,2016-09-11-08-5
23,2016-09-11-08-5
25,2016-09-11-08-5
25,2016-09-11-08-5
26,2016-09-11-08-5
24,2016-09-11-08-5
22,2016-09-11-08-5
22,2016-09-11-08-5
24,2016-09-11-08-5
22,2016-09-11-09-0
23,2016-09-11-09-0
23,2016-09-11-09-0
23,2016-09-11-09-0
25,2016-09-11-09-0
25,2016-09-11-09-0
27,2016-09-11-09-0
27,2016-09-11-09-0
26,2016-09-11-09-0
28,2016-09-11-09-0
29,2016-09-11-09-1
27,2016-09-11-09-1
25,2016-09-11-09-1
24,2016-09-11-09-1
24,2016-09-11-09-1
24,2016-09-11-09-1
25,2016-09-11-09-1
24,2016-09-11-09-1
24,2016-09-11-09-1
23,2016-09-11-09-1
25,2016-09-11-09-2
26,2016-09-11-09-2
24,2016-09-11-09-2
22,2016-09-11-09-2
22,2016-09-11-09-2
25,2016-09-11-09-2
23,2016-09-11-09-2
25,2016-09-11-09-2
23,2016-09-11-09-2
22,2016-09-11-09-2
22,2016-09-11-09-3
21,2016-09-11-09-3
22,2016-09-11-09-3
20,2016-09-11-09-3
21,2016-09-11-09-3
20,2016-09-11-09-3
20,2016-09-11-09-3
21,2016-09-11-09-3
22,2016-09-11-09-3
24,2016-09-11-09-3
24,2016-09-11-09-4
24,2016-09-11-09-4
23,2016-09-11-09-4
21,2016-09-11-09-4
21,2016-09-11-09-4
20,2016-09-11-09-4
21,2016-09-11-09-4
22,2016-09-11-09-4
20,2016-09-11-09-4
21,2016-09-11-09-4
20,2016-09-11-09-5
18,2016-09-11-09-5
18,2016-09-11-09-5
18,2016-09-11-09-5
19,2016-09-11-09-5
19,2016-09-11-09-5
19,2016-09-11-09-5
19,2016-09-11-09-5
17,2016-09-11-09-5
18,2016-09-11-09-5
20,2016-09-11-10-0
21,2016-09-11-10-0
22,2016-09-11-10-0
21,2016-09-11-10-0
19,2016-09-11-10-0
16,2016-09-11-10-0
19,2016-09-11-10-0
21,2016-09-11-10-0
20,2016-09-11-10-0
23,2016-09-11-10-0
23,2016-09-11-10-1
23,2016-09-11-10-1
22,2016-09-11-10-1
20,2016-09-11-10-1
18,2016-09-11-10-1
16,2016-09-11-10-1
16,2016-09-11-10-1
14,2016-09-11-10-1
14,2016-09-11-10-1
13,2016-09-11-10-1
13,2016-09-11-10-2
12,2016-09-11-10-2
14,2016-09-11-10-2
15,2016-09-11-10-2
15,2016-09-11-10-2
13,2016-09-11-10-2
12,2016-09-11-10-2
10,2016-09-11-10-2
11,2016-09-11-10-2
12,2016-09-11-10-2
12,2016-09-11-10-3
10,2016-09-11-10-3
10,2016-09-11-10-3
11,2016-09-11-10-3
12,2016-09-11-10-3
14,2016-09-11-10-3
12,2016-09-11-10-3
11,2016-09-11-10-3
13,2016-09-11-10-3
12,2016-09-11-10-3
13,2016-09-11-10-4
11,2016-09-11-10-4
11,2016-09-11-10-4
11,2016-09-11-10-4
13,2016-09-11-10-4
12,2016-09-11-10-4
11,2016-09-11-10-4
10,2016-09-11-10-4
12,2016-09-11-10-4
11,2016-09-11-10-4
12,2016-09-11-10-5
15,2016-09-11-10-5
15,2016-09-11-10-5
13,2016-09-11-10-5
12,2016-09-11-10-5
12,2016-09-11-10-5
14,2016-09-11-10-5
14,2016-09-11-10-5
15,2016-09-11-10-5
17,2016-09-11-10-5
15,2016-09-11-11-0
16,2016-09-11-11-0
17,2016-09-11-11-0
13,2016-09-11-11-0
15,2016-09-11-11-0
15,2016-09-11-11-0
15,2016-09-11-11-0
16,2016-09-11-11-0
16,2016-09-11-11-0
17,2016-09-11-11-0
17,2016-09-11-11-1
17,2016-09-11-11-1
18,2016-09-11-11-1
18,2016-09-11-11-1
16,2016-09-11-11-1
16,2016-09-11-11-1
16,2016-09-11-11-1
14,2016-09-11-11-1
12,2016-09-11-11-1
11,2016-09-11-11-1
13,2016-09-11-11-2
14,2016-09-11-11-2
14,2016-09-11-11-2
15,2016-09-11-11-2
14,2016-09-11-11-2
15,2016-09-11-11-2
13,2016-09-11-11-2
14,2016-09-11-11-2
14,2016-09-11-11-2
15,2016-09-11-11-2
13,2016-09-11-11-3
13,2016-09-11-11-3
12,2016-09-11-11-3
12,2016-09-11-11-3
12,2016-09-11-11-3
13,2016-09-11-11-3
16,2016-09-11-11-3
17,2016-09-11-11-3
18,2016-09-11-11-3
20,2016-09-11-11-3
17,2016-09-11-11-4
15,2016-09-11-11-4
16,2016-09-11-11-4
15,2016-09-11-11-4
15,2016-09-11-11-4
15,2016-09-11-11-4
15,2016-09-11-11-4
18,2016-09-11-11-4
14,2016-09-11-11-4
15,2016-09-11-11-4
14,2016-09-11-11-5
14,2016-09-11-11-5
14,2016-09-11-11-5
14,2016-09-11-11-5
12,2016-09-11-11-5
12,2016-09-11-11-5
11,2016-09-11-11-5
11,2016-09-11-11-5
11,2016-09-11-11-5
11,2016-09-11-11-5
15,2016-09-11-12-0
15,2016-09-11-12-0
15,2016-09-11-12-0
15,2016-09-11-12-0
13,2016-09-11-12-0
13,2016-09-11-12-0
13,2016-09-11-12-0
13,2016-09-11-12-0
13,2016-09-11-12-0
14,2016-09-11-12-0
14,2016-09-11-12-1
13,2016-09-11-12-1
15,2016-09-11-12-1
15,2016-09-11-12-1
15,2016-09-11-12-1
14,2016-09-11-12-1
13,2016-09-11-12-1
13,2016-09-11-12-1
9,2016-09-11-12-1
11,2016-09-11-12-1
11,2016-09-11-12-2
13,2016-09-11-12-2
14,2016-09-11-12-2
16,2016-09-11-12-2
16,2016-09-11-12-2
15,2016-09-11-12-2
16,2016-09-11-12-2
15,2016-09-11-12-2
13,2016-09-11-12-2
13,2016-09-11-12-2
13,2016-09-11-12-3
13,2016-09-11-12-3
14,2016-09-11-12-3
13,2016-09-11-12-3
13,2016-09-11-12-3
12,2016-09-11-12-3
13,2016-09-11-12-3
14,2016-09-11-12-3
14,2016-09-11-12-3
13,2016-09-11-12-3
14,2016-09-11-12-4
18,2016-09-11-12-4
15,2016-09-11-12-4
14,2016-09-11-12-4
18,2016-09-11-12-4
18,2016-09-11-12-4
18,2016-09-11-12-4
17,2016-09-11-12-4
17,2016-09-11-12-4
18,2016-09-11-12-4
